,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:e868e738841c,AirBeam3:e868e738841c,AirBeam3:e868e738841c,AirBeam3:e868e738841c,AirBeam3:e868e738841c
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Morning,2026-02-05T08:44:56.000,43.665408894,-79.392754957,55.0,2.0,2.0,2.0,33.0
2,Morning,2026-02-05T08:44:57.000,43.665402626,-79.392748225,56.0,1.0,1.0,1.0,27.0
3,Morning,2026-02-05T08:44:58.000,43.66539959,-79.392743231,55.0,1.0,1.0,1.0,27.0
4,Morning,2026-02-05T08:44:59.000,43.665389167,-79.392742273,55.0,1.0,1.0,1.0,27.0
5,Morning,2026-02-05T08:45:00.000,43.665374117,-79.392741866,56.0,1.0,1.0,1.0,26.0
6,Morning,2026-02-05T08:45:01.000,43.665361297,-79.392741712,56.0,1.0,1.0,1.0,26.0
7,Morning,2026-02-05T08:45:02.000,43.665347436,-79.392735373,56.0,1.0,1.0,1.0,26.0
8,Morning,2026-02-05T08:45:03.000,43.665334191,-79.392731659,56.0,1.0,1.0,1.0,26.0
9,Morning,2026-02-05T08:45:04.000,43.665322053,-79.392727822,56.0,1.0,1.0,1.0,26.0
10,Morning,2026-02-05T08:45:05.000,43.665300461,-79.392725407,56.0,1.0,1.0,1.0,26.0
11,Morning,2026-02-05T08:45:06.000,43.665285825,-79.392719542,55.0,1.0,1.0,1.0,25.0
12,Morning,2026-02-05T08:45:07.000,43.665266608,-79.392714764,55.0,1.0,1.0,1.0,25.0
13,Morning,2026-02-05T08:45:08.000,43.665260178,-79.392714536,55.0,1.0,1.0,1.0,25.0
14,Morning,2026-02-05T08:45:10.000,43.665222117,-79.39270241,55.0,,,,
15,Morning,2026-02-05T08:45:10.000,43.66524068,-79.39270866,55.0,1.0,,,
16,Morning,2026-02-05T08:45:10.000,43.665222117,-79.39270241,,1.0,1.0,,
17,Morning,2026-02-05T08:45:10.000,43.66524068,-79.39270866,,,1.0,,
18,Morning,2026-02-05T08:45:10.000,43.665222117,-79.39270241,,,,1.0,
19,Morning,2026-02-05T08:45:10.000,43.66524068,-79.39270866,,,,1.0,
20,Morning,2026-02-05T08:45:10.000,43.665222117,-79.39270241,,,,,25.0
21,Morning,2026-02-05T08:45:10.000,43.66524068,-79.39270866,,,,,25.0
22,Morning,2026-02-05T08:45:11.000,43.665208647,-79.392703255,55.0,1.0,1.0,1.0,25.0
23,Morning,2026-02-05T08:45:12.000,43.66519311,-79.392700244,55.0,1.0,1.0,1.0,24.0
24,Morning,2026-02-05T08:45:13.000,43.665181119,-79.392698473,55.0,1.0,1.0,1.0,24.0
25,Morning,2026-02-05T08:45:15.000,43.665150601,-79.392691112,55.0,1.0,1.0,1.0,24.0
26,Morning,2026-02-05T08:45:16.000,43.665137014,-79.392688478,55.0,0.0,0.0,0.0,24.0
27,Morning,2026-02-05T08:45:17.000,43.665122523,-79.392683233,55.0,0.0,0.0,0.0,24.0
28,Morning,2026-02-05T08:45:18.000,43.665109748,-79.39267861,55.0,0.0,0.0,0.0,24.0
29,Morning,2026-02-05T08:45:19.000,43.665096671,-79.392673877,55.0,0.0,0.0,0.0,24.0
30,Morning,2026-02-05T08:45:20.000,43.665082117,-79.39266861,55.0,0.0,0.0,0.0,23.0
31,Morning,2026-02-05T08:45:21.000,43.665067773,-79.39266217,55.0,0.0,0.0,0.0,23.0
32,Morning,2026-02-05T08:45:22.000,43.665054976,-79.392656292,55.0,1.0,1.0,1.0,23.0
33,Morning,2026-02-05T08:45:23.000,43.665043765,-79.392651141,55.0,1.0,1.0,1.0,23.0
34,Morning,2026-02-05T08:45:24.000,43.665034339,-79.392646502,55.0,1.0,1.0,1.0,23.0
35,Morning,2026-02-05T08:45:25.000,43.66501771,-79.392639206,55.0,1.0,1.0,1.0,23.0
36,Morning,2026-02-05T08:45:26.000,43.665005049,-79.392632469,55.0,1.0,1.0,1.0,23.0
37,Morning,2026-02-05T08:45:27.000,43.664992079,-79.392626584,55.0,1.0,1.0,1.0,23.0
38,Morning,2026-02-05T08:45:28.000,43.664977066,-79.392619772,55.0,1.0,1.0,1.0,23.0
39,Morning,2026-02-05T08:45:29.000,43.664962145,-79.39261364,55.0,1.0,1.0,1.0,23.0
40,Morning,2026-02-05T08:45:30.000,43.664948755,-79.392606812,55.0,1.0,1.0,1.0,23.0
41,Morning,2026-02-05T08:45:31.000,43.664934752,-79.392599671,55.0,1.0,1.0,1.0,22.0
42,Morning,2026-02-05T08:45:32.000,43.66492165,-79.39259299,55.0,1.0,1.0,1.0,22.0
43,Morning,2026-02-05T08:45:33.000,43.664909682,-79.392586887,55.0,1.0,1.0,1.0,22.0
44,Morning,2026-02-05T08:45:34.000,43.664896906,-79.392580356,55.0,0.0,0.0,0.0,22.0
45,Morning,2026-02-05T08:45:35.000,43.664883795,-79.392573817,55.0,0.0,0.0,0.0,22.0
46,Morning,2026-02-05T08:45:36.000,43.664871144,-79.392567507,55.0,0.0,0.0,0.0,22.0
47,Morning,2026-02-05T08:45:37.000,43.664856479,-79.392560193,55.0,0.0,0.0,0.0,22.0
48,Morning,2026-02-05T08:45:38.000,43.664843916,-79.392553927,55.0,0.0,0.0,0.0,22.0
49,Morning,2026-02-05T08:45:39.000,43.664830063,-79.392547018,55.0,0.0,0.0,0.0,22.0
50,Morning,2026-02-05T08:45:40.000,43.664817137,-79.392540571,55.0,0.0,0.0,0.0,22.0
51,Morning,2026-02-05T08:45:41.000,43.664805023,-79.392534351,55.0,0.0,0.0,0.0,22.0
52,Morning,2026-02-05T08:45:42.000,43.66479136,-79.392527359,55.0,0.0,0.0,0.0,22.0
53,Morning,2026-02-05T08:45:43.000,43.66477709,-79.392519919,55.0,0.0,0.0,0.0,22.0
54,Morning,2026-02-05T08:45:44.000,43.664763436,-79.392514551,55.0,0.0,0.0,0.0,22.0
