,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:e868e738841c,AirBeam3:e868e738841c,AirBeam3:e868e738841c,AirBeam3:e868e738841c,AirBeam3:e868e738841c
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Late morning,2026-02-05T10:44:39.000,43.665433754,-79.392657867,79.0,1.0,1.0,1.0,16.0
2,Late morning,2026-02-05T10:44:40.000,43.665426388,-79.392640439,79.0,0.0,0.0,0.0,16.0
3,Late morning,2026-02-05T10:44:41.000,43.665421655,-79.392628488,78.0,0.0,0.0,0.0,16.0
4,Late morning,2026-02-05T10:44:42.000,43.665415666,-79.392611626,78.0,0.0,0.0,0.0,16.0
5,Late morning,2026-02-05T10:44:43.000,43.665411777,-79.39259287,78.0,0.0,0.0,0.0,15.0
6,Late morning,2026-02-05T10:44:44.000,43.665412326,-79.392576549,78.0,0.0,0.0,0.0,15.0
7,Late morning,2026-02-05T10:44:45.000,43.665416982,-79.392560729,78.0,0.0,0.0,0.0,15.0
8,Late morning,2026-02-05T10:44:46.000,43.66542122,-79.392544157,78.0,0.0,0.0,0.0,15.0
9,Late morning,2026-02-05T10:44:47.000,43.665418742,-79.392542701,78.0,0.0,0.0,0.0,15.0
10,Late morning,2026-02-05T10:44:48.000,43.665422638,-79.392526139,78.0,0.0,0.0,0.0,15.0
11,Late morning,2026-02-05T10:44:49.000,43.665425448,-79.392514087,78.0,0.0,0.0,0.0,15.0
12,Late morning,2026-02-05T10:44:50.000,43.665431751,-79.39250342,78.0,1.0,1.0,1.0,15.0
13,Late morning,2026-02-05T10:44:51.000,43.665437213,-79.392490044,78.0,1.0,1.0,1.0,15.0
14,Late morning,2026-02-05T10:44:52.000,43.665442254,-79.392469851,78.0,1.0,1.0,1.0,14.0
15,Late morning,2026-02-05T10:44:53.000,43.665446289,-79.392460901,78.0,0.0,0.0,0.0,14.0
16,Late morning,2026-02-05T10:44:54.000,43.665450234,-79.392453176,78.0,0.0,0.0,0.0,14.0
17,Late morning,2026-02-05T10:44:55.000,43.665451298,-79.392439901,78.0,0.0,0.0,0.0,14.0
18,Late morning,2026-02-05T10:44:56.000,43.665452636,-79.392423202,78.0,0.0,0.0,0.0,14.0
19,Late morning,2026-02-05T10:44:57.000,43.66545406,-79.392396021,78.0,0.0,0.0,0.0,14.0
20,Late morning,2026-02-05T10:44:58.000,43.665454556,-79.392384325,78.0,0.0,0.0,0.0,14.0
21,Late morning,2026-02-05T10:44:59.000,43.66545529,-79.392367012,78.0,0.0,0.0,0.0,14.0
22,Late morning,2026-02-05T10:45:00.000,43.665455571,-79.39236039,78.0,1.0,1.0,1.0,14.0
23,Late morning,2026-02-05T10:45:01.000,43.665456307,-79.392342752,78.0,1.0,1.0,1.0,14.0
24,Late morning,2026-02-05T10:45:02.000,43.665457368,-79.392316275,78.0,1.0,1.0,1.0,14.0
25,Late morning,2026-02-05T10:45:03.000,43.665458078,-79.39229855,78.0,1.0,1.0,1.0,14.0
26,Late morning,2026-02-05T10:45:04.000,43.665458697,-79.392283101,78.0,2.0,2.0,2.0,14.0
27,Late morning,2026-02-05T10:45:05.000,43.665459165,-79.392256569,78.0,2.0,2.0,2.0,14.0
28,Late morning,2026-02-05T10:45:06.000,43.665459294,-79.392241726,78.0,2.0,2.0,2.0,14.0
29,Late morning,2026-02-05T10:45:07.000,43.665459439,-79.392225034,78.0,2.0,2.0,2.0,14.0
30,Late morning,2026-02-05T10:45:08.000,43.665460158,-79.392210256,77.0,2.0,2.0,2.0,14.0
31,Late morning,2026-02-05T10:45:09.000,43.665462628,-79.392193593,77.0,2.0,2.0,2.0,14.0
32,Late morning,2026-02-05T10:45:10.000,43.665466897,-79.392178982,77.0,2.0,2.0,2.0,14.0
33,Late morning,2026-02-05T10:45:11.000,43.665467714,-79.392171222,77.0,2.0,2.0,2.0,14.0
34,Late morning,2026-02-05T10:45:12.000,43.665468067,-79.392161562,77.0,3.0,4.0,3.0,14.0
35,Late morning,2026-02-05T10:45:13.000,43.665461681,-79.3921566,77.0,3.0,4.0,3.0,14.0
36,Late morning,2026-02-05T10:45:14.000,43.665460061,-79.392153199,77.0,3.0,4.0,3.0,14.0
37,Late morning,2026-02-05T10:45:15.000,43.665434353,-79.392172038,77.0,3.0,4.0,3.0,14.0
38,Late morning,2026-02-05T10:45:16.000,43.665424238,-79.392178254,77.0,3.0,4.0,3.0,14.0
39,Late morning,2026-02-05T10:45:17.000,43.665410723,-79.392186592,77.0,3.0,4.0,3.0,14.0
40,Late morning,2026-02-05T10:45:18.000,43.665400365,-79.392191874,77.0,3.0,4.0,3.0,14.0
41,Late morning,2026-02-05T10:45:19.000,43.665389872,-79.392197225,77.0,2.0,2.0,2.0,14.0
42,Late morning,2026-02-05T10:45:20.000,43.665379653,-79.392202436,77.0,2.0,2.0,2.0,14.0
43,Late morning,2026-02-05T10:45:21.000,43.665368669,-79.392208037,77.0,2.0,2.0,2.0,14.0
44,Late morning,2026-02-05T10:45:22.000,43.665358178,-79.392213387,77.0,2.0,2.0,2.0,14.0
45,Late morning,2026-02-05T10:45:23.000,43.66534834,-79.392218203,77.0,3.0,4.0,3.0,13.0
46,Late morning,2026-02-05T10:45:24.000,43.66533951,-79.39222245,77.0,3.0,4.0,3.0,13.0
47,Late morning,2026-02-05T10:45:25.000,43.665327518,-79.392228218,77.0,3.0,4.0,3.0,13.0
48,Late morning,2026-02-05T10:45:26.000,43.665313788,-79.392234822,77.0,3.0,4.0,3.0,13.0
49,Late morning,2026-02-05T10:45:27.000,43.665302358,-79.39224032,77.0,3.0,4.0,3.0,13.0
50,Late morning,2026-02-05T10:45:28.000,43.66529095,-79.392244449,76.0,3.0,4.0,3.0,13.0
51,Late morning,2026-02-05T10:45:29.000,43.665281637,-79.392248289,76.0,3.0,4.0,3.0,13.0
52,Late morning,2026-02-05T10:45:30.000,43.665271799,-79.392252346,76.0,2.0,2.0,2.0,13.0
