,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:4c7525514e70,AirBeam3:4c7525514e70,AirBeam3:4c7525514e70,AirBeam3:4c7525514e70,AirBeam3:4c7525514e70
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Queens Park Jan16,2026-01-16T15:09:08.000,43.664932497,-79.390439198,69.0,1.0,1.0,1.0,30.0
2,Queens Park Jan16,2026-01-16T15:09:09.000,43.664941468,-79.390434184,68.0,3.0,4.0,3.0,24.0
3,Queens Park Jan16,2026-01-16T15:09:10.000,43.664954269,-79.390430056,68.0,3.0,4.0,3.0,24.0
4,Queens Park Jan16,2026-01-16T15:09:11.000,43.66496038,-79.390432439,68.0,5.0,6.0,6.0,23.0
5,Queens Park Jan16,2026-01-16T15:09:12.000,43.664966056,-79.390432105,69.0,3.0,4.0,3.0,23.0
6,Queens Park Jan16,2026-01-16T15:09:13.000,43.664965712,-79.39043236,69.0,3.0,4.0,3.0,23.0
7,Queens Park Jan16,2026-01-16T15:09:14.000,43.664958986,-79.390435421,69.0,5.0,6.0,6.0,23.0
8,Queens Park Jan16,2026-01-16T15:09:15.000,43.664955659,-79.390440214,69.0,4.0,5.0,5.0,23.0
9,Queens Park Jan16,2026-01-16T15:09:16.000,43.66495218,-79.390446887,69.0,4.0,5.0,5.0,23.0
10,Queens Park Jan16,2026-01-16T15:09:17.000,43.6649491,-79.390455849,69.0,4.0,5.0,5.0,23.0
11,Queens Park Jan16,2026-01-16T15:09:18.000,43.664944369,-79.390462484,69.0,5.0,6.0,6.0,23.0
12,Queens Park Jan16,2026-01-16T15:09:19.000,43.664937573,-79.390474766,69.0,5.0,6.0,6.0,23.0
13,Queens Park Jan16,2026-01-16T15:09:20.000,43.664933505,-79.390488261,69.0,5.0,6.0,6.0,23.0
14,Queens Park Jan16,2026-01-16T15:09:21.000,43.664928275,-79.390503425,68.0,4.0,5.0,5.0,23.0
15,Queens Park Jan16,2026-01-16T15:09:22.000,43.664927636,-79.390513897,69.0,4.0,5.0,5.0,23.0
16,Queens Park Jan16,2026-01-16T15:09:23.000,43.664920857,-79.390526356,69.0,4.0,5.0,5.0,22.0
17,Queens Park Jan16,2026-01-16T15:09:24.000,43.664914133,-79.39054026,68.0,4.0,5.0,5.0,22.0
18,Queens Park Jan16,2026-01-16T15:09:25.000,43.664907191,-79.390553904,68.0,4.0,5.0,5.0,22.0
19,Queens Park Jan16,2026-01-16T15:09:26.000,43.664905537,-79.390568185,69.0,4.0,5.0,5.0,22.0
20,Queens Park Jan16,2026-01-16T15:09:27.000,43.664902482,-79.390578764,68.0,4.0,5.0,5.0,22.0
21,Queens Park Jan16,2026-01-16T15:09:28.000,43.664901652,-79.390597755,68.0,6.0,7.0,7.0,22.0
22,Queens Park Jan16,2026-01-16T15:09:29.000,43.664896292,-79.390613978,68.0,6.0,7.0,7.0,22.0
23,Queens Park Jan16,2026-01-16T15:09:30.000,43.664891482,-79.390631238,68.0,6.0,7.0,7.0,22.0
24,Queens Park Jan16,2026-01-16T15:09:31.000,43.664890812,-79.390648627,68.0,6.0,7.0,7.0,22.0
25,Queens Park Jan16,2026-01-16T15:09:32.000,43.664888048,-79.390661337,68.0,6.0,7.0,7.0,22.0
26,Queens Park Jan16,2026-01-16T15:09:33.000,43.664887393,-79.390676056,68.0,6.0,7.0,6.0,22.0
